timestamp,cpu_temperature,cpu_usage,cpu_load,memory_usage,battery_level,cpu_power
2024-11-25 19:51:45.167731,96.87032376332454,10.8,0.0,57.1,94.0,
2024-11-25 19:51:45.557674,,8.2,0.0,57.0,94.0,
2024-11-25 19:51:45.771979,,91.95110856908983,0.0,57.1,4.574796320847474,
2024-11-25 19:51:45.986364,,94.08842760697937,0.0,57.1,0.4671179103752776,
2024-11-25 19:51:46.198601,,8.8,0.0,57.2,94.0,
2024-11-25 19:51:46.471066,,0.9,0.0,57.1,94.0,
2024-11-25 19:51:46.685157,,1.7,0.0,57.1,94.0,
2024-11-25 19:51:46.912942,,3.5,0.0,57.2,94.0,
2024-11-25 19:51:47.137578,,3.2,0.0,57.2,94.0,55.39743683817345
2024-11-25 19:51:47.373881,,6.5,0.0,57.3,94.0,70.8271555997106
2024-11-25 19:51:47.591703,,6.1,0.0,57.3,94.0,78.78373268097191
2024-11-25 19:51:47.811048,,2.8,0.0,96.82120971261791,94.0,
2024-11-25 19:51:48.024327,,2.9,0.0,57.3,94.0,
2024-11-25 19:51:48.241236,,0.9,0.0,57.3,94.0,
2024-11-25 19:51:48.454234,,3.2,0.0,57.3,94.0,
2024-11-25 19:51:48.672189,,2.4,0.0,98.7152774407713,94.0,
2024-11-25 19:51:48.885634,,1.0,0.0,57.3,94.0,
2024-11-25 19:51:49.099520,,2.8,0.0,57.3,94.0,
2024-11-25 19:51:49.317119,,2.0,0.0,57.2,94.0,
2024-11-25 19:51:49.531208,,0.0,0.0,57.2,94.0,
2024-11-25 19:51:49.747922,,1.1,0.0,97.34119762826886,94.0,
2024-11-25 19:51:49.965550,,0.0,0.0,57.2,94.0,
2024-11-25 19:51:50.178561,,0.0,0.0,57.2,2.2819309924472253,
2024-11-25 19:51:50.394019,,4.0,0.0,57.2,94.0,
2024-11-25 19:51:50.607689,,0.0,0.0,57.2,2.3796850228984043,89.5103200397487
2024-11-25 19:51:50.822205,,2.1,0.0,57.2,94.0,72.41791935614489
2024-11-25 19:51:51.034886,,2.0,0.0,98.13722386349481,94.0,
2024-11-25 19:51:51.252148,,5.3,0.0,57.3,94.0,
2024-11-25 19:51:51.471937,,1.9,0.0,97.40608251673291,94.0,
2024-11-25 19:51:51.688943,,0.0,0.0,57.2,94.0,
2024-11-25 19:51:51.907094,,0.0,0.0,57.2,4.309684460191874,
2024-11-25 19:51:52.121282,90.48705122370849,7.0,0.0,57.2,94.0,
2024-11-25 19:51:52.341917,,3.0,0.0,57.2,94.0,
2024-11-25 19:51:52.555540,,2.0,0.0,57.1,94.0,
2024-11-25 19:51:52.768712,,99.74790689899991,0.0,57.1,94.0,
2024-11-25 19:51:52.981328,,0.0,0.0,57.1,94.0,
2024-11-25 19:51:53.194590,,0.0,0.0,57.1,94.0,
2024-11-25 19:51:53.408100,,0.0,0.0,95.26390692718572,94.0,78.72555617995788
2024-11-25 19:51:53.627176,,0.0,0.0,57.1,94.0,
2024-11-25 19:51:53.844791,,0.0,0.0,57.1,94.0,
2024-11-25 19:51:54.060812,90.64823378910928,2.1,0.0,57.1,94.0,
2024-11-25 19:51:54.275161,,0.0,0.0,57.1,94.0,84.93321496802314
2024-11-25 19:51:54.490672,95.22325157340082,1.0,0.0,57.1,94.0,
2024-11-25 19:51:54.702090,,1.1,0.0,57.1,94.0,
2024-11-25 19:51:54.920080,,5.5,0.0,57.1,94.0,
2024-11-25 19:51:55.139306,90.37977767707486,0.0,0.0,57.0,94.0,
2024-11-25 19:51:55.352343,,1.0,0.0,57.1,94.0,
2024-11-25 19:51:55.572349,,4.5,0.0,57.1,94.0,
2024-11-25 19:51:55.816529,,0.0,0.0,57.1,94.0,
2024-11-25 19:51:56.034291,,1.1,0.0,99.98082692340593,94.0,
